Category,Item,Station,Value,ValueType
Psychological Testing,Average Daily Census -Psychological Testing Uniques,549,489,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,671,369,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,674,340,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,501,545,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,504,80,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,519,6,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,644,823,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,649,161,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,678,273,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,756,11,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,442,3,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,554,233,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,660,341,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,666,171,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,531,255,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,648,331,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,653,177,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,663,307,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,668,255,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,687,4,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,692,136,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,459,3,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,570,201,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,612A4,648,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,640,915,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,654,291,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,662,339,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,593,154,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,600,184,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,605,228,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,664,370,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,437,690,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,438,285,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,568,126,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,618,465,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,636,387,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,636A6,270,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,636A8,569,Number
Psychological Testing,Average Daily Census -Psychological Testing Uniques,656,957,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,402,533,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,405,306,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,518,422,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,523,647,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,608,87,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,631,297,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,650,686,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,689,492,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,528,362,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,528A5,402,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,528A6,206,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,528A7,148,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,528A8,282,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,526,257,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,561,63,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,630,651,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,632,382,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,460,57,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,503,345,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,540,43,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,542,"1,051",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,595,446,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,646,"1,167",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,512,"1,110",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,613,722,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,688,861,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,558,598,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,565,72,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,590,114,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,637,213,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,652,430,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,658,643,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,659,152,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,508,32,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,509,413,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,521,348,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,534,636,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,544,464,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,619,199,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,679,"1,091",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,516,"1,456",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,546,"2,480",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,548,313,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,573,597,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,672,654,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,673,"1,901",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,675,654,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,581,141,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,596A4,421,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,603,756,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,614,766,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,621,576,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,626,436,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,538,304,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,539,599,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,541,653,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,552,432,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,757,367,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,506,"1,450",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,515,360,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,550,567,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,553,432,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,583,"1,020",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,610,405,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,655,296,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,537,709,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,556,412,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,578,519,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,585,232,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,607,289,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,676,747,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,695,"1,456",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,589,817,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,589A4,262,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,589A5,874,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,589A7,251,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,657,225,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,657A4,89,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,657A5,60,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,502,"2,186",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,520,"1,174",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,564,98,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,580,519,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,586,287,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,598,"1,104",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,623,23,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,635,693,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,667,"1,418",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,549,954,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,671,"1,032",Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,674,717,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,501,701,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,504,91,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,519,6,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,644,925,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,649,172,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,678,303,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,756,14,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,442,3,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,554,387,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,660,393,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,666,204,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,531,336,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,648,636,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,653,251,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,663,564,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,668,387,Number
Psychological Testing,Average Daily Census -Psychological Testing Encounters,687,6,Number
Mental Health Workload,Service Users Who Received MH Services ,644,29%,Percent
Mental Health Workload,Service Users Who Received MH Services ,649,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,678,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,756,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,436,18%,Percent
Mental Health Workload,Service Users Who Received MH Services ,442,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,554,32%,Percent
Mental Health Workload,Service Users Who Received MH Services ,575,27%,Percent
Mental Health Workload,Service Users Who Received MH Services ,660,22%,Percent
Mental Health Workload,Service Users Who Received MH Services ,666,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,463,23%,Percent
Mental Health Workload,Service Users Who Received MH Services ,531,21%,Percent
Mental Health Workload,Service Users Who Received MH Services ,648,22%,Percent
Mental Health Workload,Service Users Who Received MH Services ,653,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,663,24%,Percent
Mental Health Workload,Service Users Who Received MH Services ,668,21%,Percent
Mental Health Workload,Service Users Who Received MH Services ,687,23%,Percent
Mental Health Workload,Service Users Who Received MH Services ,692,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,358,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,459,31%,Percent
Mental Health Workload,Service Users Who Received MH Services ,570,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,612A4,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,640,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,654,25%,Percent
Mental Health Workload,Service Users Who Received MH Services ,662,17%,Percent
Mental Health Workload,Service Users Who Received MH Services ,593,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,600,32%,Percent
Mental Health Workload,Service Users Who Received MH Services ,605,26%,Percent
Mental Health Workload,Service Users Who Received MH Services ,664,30%,Percent
Mental Health Workload,Service Users Who Received MH Services ,691,38%,Percent
Mental Health Workload,Service Users Who Received MH Services ,437,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,438,17%,Percent
Mental Health Workload,Service Users Who Received MH Services ,568,21%,Percent
Mental Health Workload,Service Users Who Received MH Services ,618,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,636,19%,Percent
Mental Health Workload,Service Users Who Received MH Services ,636A6,20%,Percent
Mental Health Workload,Service Users Who Received MH Services ,636A8,20%,Percent
Mental Health Workload,Service Users Who Received MH Services ,656,24%,Percent
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,402,386,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,405,217,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,518,729,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,523,"1,399",Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,631,607,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,650,352,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,689,295,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,528,435,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,528A6,1,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,528A7,333,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,528A8,283,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,526,415,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,561,753,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,620,332,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,630,849,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,632,376,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,540,208,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,542,688,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,595,392,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,642,819,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,646,"1,062",Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,693,249,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,512,554,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,613,575,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,688,470,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,558,618,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,565,544,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,590,828,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,637,571,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,652,497,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,658,462,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,659,801,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,508,887,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,509,499,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,534,466,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,544,475,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,619,557,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,679,789,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,516,993,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,546,623,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,548,652,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,573,941,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,672,855,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,673,"1,026",Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,596A4,520,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,603,492,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,614,719,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,621,762,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,626,"1,418",Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,538,723,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,539,655,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,541,512,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,552,389,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,506,478,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,515,669,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,550,304,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,553,656,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,583,483,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,610,439,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,537,728,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,556,306,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,578,651,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,607,507,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,676,160,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,695,914,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,589,468,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,589A4,170,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,589A5,879,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,657,"1,171",Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,502,651,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,520,504,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,564,595,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,580,"1,432",Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,586,343,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,598,800,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,623,484,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,635,682,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,667,562,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,549,986,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,671,957,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,674,913,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,501,380,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,644,943,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,678,874,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,436,49,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,554,402,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,575,121,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,660,462,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,666,333,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,531,285,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,648,609,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,653,286,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,663,674,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,668,219,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,459,239,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,570,367,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,612A4,426,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,640,662,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,654,381,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,662,221,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,593,601,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,600,544,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,605,742,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,664,580,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,691,683,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,437,211,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,438,177,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,568,166,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,618,411,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,636,354,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,636A6,265,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,636A8,379,Number
Mental Health Workload,Unique Veterans Seen In Inpatient Mental Health,656,366,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,405,141,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,518,286,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,523,480,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,631,42,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,689,337,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,528,463,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,528A5,292,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,528A6,750,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,528A8,125,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,561,650,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,620,528,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,630,443,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,632,143,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,529,246,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,540,137,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,542,"1,220",Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,595,254,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,642,137,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,646,474,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,693,157,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,512,647,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,613,839,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,558,3,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,590,765,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,637,227,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,652,141,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,658,370,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,659,374,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,508,111,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,509,226,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,521,31,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,557,642,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,619,333,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,679,442,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,516,584,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,546,281,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,573,301,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,673,96,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,675,232,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,596A4,278,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,603,163,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,614,231,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,621,488,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,626,173,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,538,601,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,539,592,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,541,845,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,552,335,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,515,641,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,550,147,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,553,131,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,583,157,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,610,173,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,537,368,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,556,528,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,578,311,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,607,139,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,676,250,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,695,843,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,589,365,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,589A4,24,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,589A5,582,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,657,496,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,657A5,48,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,502,1,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,520,507,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,580,127,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,586,253,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,598,785,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,635,34,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,667,1,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,549,"1,125",Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,671,394,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,674,"1,265",Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,501,290,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,519,138,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,644,119,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,649,342,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,678,163,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,436,137,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,554,323,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,660,277,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,666,393,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,463,127,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,531,136,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,648,195,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,653,128,Number
Mental Health Workload,Unique Veterans Seen In Residential Mental Health,663,574,Number
